time,temperature_2m,relative_humidity_2m,pressure_msl,dew_point_2m
2024-08-16T00:00,20.6,85,1018.8,18.0
2024-08-16T01:00,20.4,84,1018.8,17.6
2024-08-16T02:00,19.7,85,1018.2,17.1
2024-08-16T03:00,19.2,86,1018.2,16.8
2024-08-16T04:00,18.5,91,1018.0,17.0
2024-08-16T05:00,18.4,93,1018.0,17.2
2024-08-16T06:00,18.5,94,1018.3,17.5
2024-08-16T07:00,19.9,92,1018.6,18.6
2024-08-16T08:00,21.2,91,1018.8,19.6
2024-08-16T09:00,23.6,81,1018.9,20.2
2024-08-16T10:00,26.0,70,1019.2,20.1
2024-08-16T11:00,27.6,60,1019.1,19.1
2024-08-16T12:00,28.7,54,1018.8,18.4
2024-08-16T13:00,29.3,52,1018.1,18.4
2024-08-16T14:00,30.0,50,1017.5,18.5
2024-08-16T15:00,30.4,49,1016.8,18.3
2024-08-16T16:00,30.7,47,1015.9,18.1
2024-08-16T17:00,30.3,49,1015.7,18.3
2024-08-16T18:00,29.0,56,1015.4,19.4
2024-08-16T19:00,27.4,67,1015.3,20.7
2024-08-16T20:00,25.7,71,1015.4,20.2
2024-08-16T21:00,24.7,72,1016.0,19.3
2024-08-16T22:00,23.9,70,1016.6,18.2
2024-08-16T23:00,23.5,70,1016.8,17.7
2024-08-17T00:00,23.5,71,1016.5,17.9
2024-08-17T01:00,23.3,69,1016.3,17.2
2024-08-17T02:00,23.0,70,1015.9,17.3
2024-08-17T03:00,23.0,75,1015.4,18.3
2024-08-17T04:00,22.7,81,1015.1,19.2
2024-08-17T05:00,22.8,84,1014.7,19.9
2024-08-17T06:00,22.6,87,1014.6,20.2
2024-08-17T07:00,22.5,88,1014.9,20.4
2024-08-17T08:00,23.5,85,1015.2,20.9
2024-08-17T09:00,24.7,84,1015.2,21.8
2024-08-17T10:00,26.3,77,1015.5,22.0
2024-08-17T11:00,27.2,74,1015.6,22.1
2024-08-17T12:00,27.7,72,1015.1,22.2
2024-08-17T13:00,29.1,67,1014.5,22.4
2024-08-17T14:00,29.6,64,1013.7,22.2
2024-08-17T15:00,30.2,63,1012.7,22.5
2024-08-17T16:00,30.5,63,1011.8,22.6
2024-08-17T17:00,30.2,63,1011.3,22.2
2024-08-17T18:00,29.8,63,1010.9,22.0
2024-08-17T19:00,28.3,71,1011.6,22.5
2024-08-17T20:00,27.1,77,1011.6,22.7
2024-08-17T21:00,24.7,85,1012.6,22.0
2024-08-17T22:00,23.9,91,1012.3,22.3
2024-08-17T23:00,23.5,94,1012.2,22.5
2024-08-18T00:00,23.4,95,1012.2,22.6
2024-08-18T01:00,23.4,96,1011.9,22.8
2024-08-18T02:00,23.4,97,1011.4,22.9
2024-08-18T03:00,23.2,97,1010.8,22.7
2024-08-18T04:00,22.9,98,1010.7,22.6
2024-08-18T05:00,22.7,98,1010.6,22.3
2024-08-18T06:00,22.4,98,1010.4,22.1
2024-08-18T07:00,22.2,99,1010.6,22.0
2024-08-18T08:00,23.1,95,1010.9,22.3
2024-08-18T09:00,24.1,88,1011.0,22.0
2024-08-18T10:00,25.6,79,1011.2,21.6
2024-08-18T11:00,27.3,71,1011.1,21.6
2024-08-18T12:00,28.6,68,1010.7,22.0
2024-08-18T13:00,29.5,64,1010.0,21.9
2024-08-18T14:00,30.3,59,1009.3,21.5
2024-08-18T15:00,31.0,57,1008.4,21.4
2024-08-18T16:00,31.1,55,1007.4,20.9
2024-08-18T17:00,27.5,70,1007.6,21.5
2024-08-18T18:00,26.2,78,1007.8,22.0
2024-08-18T19:00,24.2,87,1008.5,21.8
2024-08-18T20:00,23.3,92,1008.1,21.8
2024-08-18T21:00,23.2,90,1008.8,21.5
2024-08-18T22:00,22.6,92,1009.0,21.3
2024-08-18T23:00,22.3,96,1008.9,21.6
2024-08-19T00:00,22.4,97,1009.0,21.9
2024-08-19T01:00,22.2,96,1009.0,21.5
2024-08-19T02:00,21.6,95,1008.7,20.8
2024-08-19T03:00,21.1,93,1008.4,19.9
2024-08-19T04:00,20.7,91,1008.4,19.3
2024-08-19T05:00,20.4,89,1008.2,18.6
2024-08-19T06:00,20.2,87,1008.3,18.0
2024-08-19T07:00,20.1,87,1009.1,17.9
2024-08-19T08:00,21.4,85,1009.9,18.9
2024-08-19T09:00,23.5,78,1009.7,19.4
2024-08-19T10:00,25.5,72,1009.9,20.0
2024-08-19T11:00,27.2,64,1009.8,19.7
2024-08-19T12:00,28.3,58,1009.8,19.2
2024-08-19T13:00,28.9,56,1009.6,19.3
2024-08-19T14:00,29.3,55,1009.3,19.3
2024-08-19T15:00,29.4,54,1008.9,19.1
2024-08-19T16:00,29.4,53,1007.9,18.8
2024-08-19T17:00,26.5,64,1008.8,19.0
2024-08-19T18:00,24.2,75,1009.4,19.5
2024-08-19T19:00,23.4,79,1009.5,19.6
2024-08-19T20:00,22.1,93,1010.3,20.9
2024-08-19T21:00,23.2,92,1010.6,21.7
2024-08-19T22:00,22.6,93,1011.4,21.5
2024-08-19T23:00,22.1,95,1011.6,21.3
2024-08-20T00:00,21.6,96,1011.7,21.0
2024-08-20T01:00,21.3,95,1012.1,20.6
2024-08-20T02:00,20.8,93,1012.2,19.6
2024-08-20T03:00,20.2,90,1012.3,18.5
2024-08-20T04:00,19.7,89,1012.5,17.8
2024-08-20T05:00,19.3,89,1012.8,17.5
2024-08-20T06:00,18.8,90,1013.5,17.2
2024-08-20T07:00,18.6,90,1014.4,16.8
2024-08-20T08:00,19.5,84,1015.2,16.8
2024-08-20T09:00,20.4,80,1015.4,16.8
2024-08-20T10:00,20.8,76,1015.7,16.5
2024-08-20T11:00,22.2,70,1015.9,16.4
2024-08-20T12:00,23.4,67,1015.9,16.9
2024-08-20T13:00,24.4,62,1015.3,16.7
2024-08-20T14:00,24.2,61,1014.9,16.2
2024-08-20T15:00,24.9,58,1014.5,16.0
2024-08-20T16:00,25.5,55,1013.9,15.8
2024-08-20T17:00,25.9,53,1013.9,15.5
2024-08-20T18:00,25.6,53,1013.7,15.4
2024-08-20T19:00,24.4,64,1014.2,17.2
2024-08-20T20:00,22.5,77,1015.0,18.2
